Genes	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MOLM13_2w_2_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MOLM13_WT_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MV4_11_6w_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MV4_11_WT_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_OCI_6w_2_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_OCI_WT_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_WT_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_6W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_WT_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_4W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_6W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_WT_3__500ng.raw
MTRF1L	1.00753e+07	1.16107e+07		4.93874e+06		8.41206e+06	9.35336e+06	8.4695e+06	8.24892e+06	8.23249e+06	9.0093e+06	9.99582e+06				2.99507e+06		6.49784e+06			6.48766e+06	5.85843e+06				6.5463e+06	5.5016e+06
MTRFR					4.70026e+06																						
MTRNR2L7		188353				142472				183853							242188					113336	128150			159869	
MTRR	2.27309e+07	2.77664e+07	3.38679e+07	1.13725e+07	9.2271e+06	1.17786e+07	2.51648e+07	2.62241e+07	2.44159e+07	2.23612e+07	2.77816e+07	2.66512e+07	1.30808e+07	1.24389e+07	1.17932e+07	9.578e+06	1.12153e+07	1.19896e+07	1.21816e+07	1.30848e+07	1.56743e+07	1.10126e+07	1.27355e+07	1.51275e+07	1.11323e+07	1.22215e+07	1.22356e+07
MTSS1	1.30322e+06						991524	499042	337719																		
MTSS2	2.50481e+06	3.07324e+06	3.65284e+06	4.99526e+06			2.6114e+06	3.58514e+06	2.89651e+06	3.57406e+06	3.06471e+06	2.85685e+06	5.84804e+06	4.98862e+06	5.49875e+06	5.64043e+06	5.55468e+06	4.29146e+06	4.39343e+06								
MTURN					1.33885e+06																	884241					
MTX1	3.83629e+07	4.22583e+07	4.09347e+07	2.7592e+07	2.57916e+07	3.12252e+07	3.52908e+07	3.83278e+07	3.84612e+07	3.19034e+07	4.16373e+07	4.05485e+07	2.61476e+07	2.56265e+07	2.552e+07	2.36277e+07	2.37183e+07	2.62643e+07	2.43128e+07	2.60063e+07	2.58681e+07	2.61508e+07	2.59115e+07	2.69127e+07	2.77173e+07	2.30918e+07	2.4262e+07
MTX2	3.02613e+07	4.1576e+07	3.17897e+07	1.94091e+07	3.47391e+07	3.51567e+07	3.13703e+07	3.43045e+07	3.60865e+07	3.55525e+07	3.95524e+07	3.73284e+07	2.03567e+07	2.13169e+07	2.02157e+07	1.88047e+07	1.84171e+07	1.79203e+07	1.86658e+07	2.7179e+07	2.84809e+07	3.03023e+07	2.68367e+07	3.25611e+07	3.09764e+07	3.38022e+07	3.24917e+07
MTX3	6.80968e+06	8.84511e+06	6.46464e+06	3.25936e+06	7.61491e+06	7.44264e+06	6.09809e+06	7.88008e+06	8.11164e+06	6.83486e+06	7.53443e+06	8.14419e+06	3.82072e+06	3.61034e+06	3.93088e+06	3.67552e+06	3.04916e+06	3.57032e+06	3.47274e+06	6.00003e+06	6.67892e+06	6.70686e+06	5.76831e+06	6.25498e+06	7.28766e+06	6.5797e+06	6.29401e+06
MUC1								625306				336985															
MUC15						3.61504e+06																					
MUL1	3.45532e+06	3.88706e+06	3.37659e+06	3.3146e+06	4.55114e+06	3.80645e+06	3.63125e+06	3.49675e+06	3.86316e+06	3.83149e+06	4.32372e+06	3.81003e+06	3.39286e+06	3.12321e+06	2.79298e+06	3.035e+06	3.1048e+06	3.77408e+06	3.97271e+06	3.52818e+06	3.46956e+06	4.5124e+06	2.99463e+06	3.4476e+06	3.32348e+06	3.3463e+06	3.79917e+06
MUS81	1.38267e+06		1.3446e+06		1.15676e+06	1.38971e+06		1.32863e+06	1.23577e+06	1.29238e+06											1.36751e+06	1.32301e+06	1.217e+06	1.56096e+06	1.19493e+06	855712	1.16448e+06
MUTYH			380875	804060	547983	1.13435e+06		161302		587251	245957		1.08612e+06	1.25705e+06	1.15195e+06	1.39025e+06	1.1796e+06	855087	937656	509088	1.0303e+06		575545	820838		614763	658615
MVB12A	1.19223e+06	1.0644e+06	1.32196e+06	1.00648e+06		486613	1.3869e+06	1.42374e+06	1.5362e+06	1.18246e+06	1.2252e+06	1.44946e+06	1.43994e+06	707089		1.06985e+06	1.12484e+06	1.24099e+06	950733	792293	857515	696782	640729		806881	720250	
MVB12B		1.20654e+06		1.28089e+06	3.91854e+06	4.17643e+06						829929	1.87946e+06	1.45131e+06	1.6771e+06	1.40315e+06	1.31138e+06	1.56235e+06	1.18699e+06	3.9409e+06	2.95101e+06	3.46696e+06	4.11435e+06	5.10324e+06	4.13673e+06	3.35849e+06	3.41505e+06
MVD	1.90701e+07	1.39139e+07	1.4325e+07	1.45369e+07	1.79759e+07	2.16946e+07	1.81014e+07	1.4251e+07	2.20946e+07	1.51915e+07	1.53949e+07	1.37695e+07	1.64898e+07	1.76894e+07	1.68396e+07	1.8371e+07	1.46035e+07	1.40615e+07	1.39542e+07	1.61743e+07	1.41154e+07	1.53019e+07	2.00989e+07	1.83286e+07	1.69821e+07	1.82693e+07	1.83223e+07
MVK	9.64201e+06	8.17305e+06	9.71619e+06	9.30434e+06	5.91379e+06	8.62131e+06	9.34313e+06	9.49388e+06	1.189e+07	8.27442e+06	6.99866e+06	7.81831e+06	7.84877e+06	1.16338e+07	9.93305e+06	1.26227e+07	7.19005e+06	6.40402e+06	5.80265e+06	6.06854e+06	4.98886e+06	4.58775e+06	8.44577e+06	6.4435e+06	6.56105e+06	7.34527e+06	6.79101e+06
MVP	1.18e+07	9.00256e+06	4.80569e+06	3.92288e+07	4.76653e+07	2.95952e+07	1.19533e+07	6.29507e+06	9.23017e+06	7.27558e+06	9.47788e+06	9.40635e+06	4.8535e+07	4.2551e+07	4.63372e+07	3.76429e+07	3.70385e+07	3.83306e+07	3.7471e+07	3.63481e+07	2.6209e+07	3.45726e+07	3.77085e+07	5.62844e+07	3.90873e+07	2.56993e+07	2.53342e+07
MX1					2.12654e+07	2.71236e+06														1.27981e+07	4.09891e+06	3.26405e+06	4.70549e+08	3.75951e+07	2.32435e+07	4.29613e+06	3.2116e+06
MX2					3.36767e+07	1.17949e+07									1.11316e+06	1.75242e+06				3.52995e+07	2.1054e+07	2.03112e+07	1.61382e+08	3.68818e+07	2.72762e+07	1.29567e+07	1.23161e+07
MXI1	989537	790835	945317		639913	1.30296e+06	626345		710721	669716		929893	985334	1.62468e+06	1.11743e+06	965007	1.071e+06	490981	414093	772318	1.0331e+06	1.00152e+06	973222	1.07163e+06	603571	840081	1.09296e+06
MXRA7	3.1889e+06	1.99903e+06	4.93339e+06	3.49809e+06	6.66205e+06	4.47247e+06	3.17453e+06	2.3054e+06		4.31002e+06	1.52338e+06	2.51523e+06	2.10151e+06	2.87813e+06	3.34669e+06	3.94358e+06	2.167e+06	3.44247e+06	2.72663e+06	6.09001e+06	4.47915e+06	4.78312e+06	7.44599e+06	1.13061e+07	7.3495e+06	3.94521e+06	3.83023e+06
MYADM	2.96506e+07	3.00578e+07	2.48323e+07	5.9924e+07	1.76917e+07	4.04774e+07	3.08645e+07	2.65651e+07	9.82333e+06	1.48018e+07	2.96772e+07	2.61751e+07	3.03763e+07	2.75744e+07	3.90644e+07	4.95514e+07	2.70914e+07	4.74075e+07	4.66577e+07	2.68682e+07	1.55546e+07	2.04054e+07	2.2178e+07	2.96981e+07	2.50346e+07	2.64624e+07	2.48584e+07
MYADML2									1.35534e+06				976022					849364					934192	982176			
MYB	2.61129e+06	3.70449e+06	2.70749e+06	3.6913e+06	1.82056e+06	3.14635e+06	2.20654e+06	2.63182e+06	1.9818e+06	2.91567e+06	3.63684e+06	3.4885e+06	2.85216e+06	2.1953e+06	2.71332e+06	3.72406e+06	3.0526e+06	3.43936e+06	3.3902e+06	1.50785e+06	1.69365e+06	1.46285e+06	1.37932e+06	2.03052e+06	1.53795e+06	2.53413e+06	2.60477e+06
MYBBP1A	9.1284e+07	1.20195e+08	1.11079e+08	7.03694e+07	5.94482e+07	7.32551e+07	9.49096e+07	9.95452e+07	9.84372e+07	1.31063e+08	9.03962e+07	9.45455e+07	8.6685e+07	8.2561e+07	6.7352e+07	5.92043e+07	9.60697e+07	1.0222e+08	9.52033e+07	4.71752e+07	5.22765e+07	5.36778e+07	5.07995e+07	4.05988e+07	4.79448e+07	8.98263e+07	8.54562e+07
MYBL2	1.24646e+06	1.13162e+06	1.48673e+06	1.48433e+06		1.17387e+06	1.16086e+06	1.30431e+06		1.15485e+06		1.28507e+06		1.15033e+06			1.17787e+06	1.03605e+06	1.25402e+06	1.33166e+06			709965			986620	1.0381e+06
MYBPH	3.52813e+06			3.80765e+07			2.78792e+06						3.32347e+07	2.24634e+07	2.9371e+07	3.3421e+07	1.99838e+07	3.58753e+07	3.74328e+07								
MYC																		211057									
MYCBP	2.41355e+07	2.24489e+07	2.37153e+07	3.31879e+07	2.10717e+07	2.71105e+07	2.57505e+07	2.58398e+07	2.38297e+07	2.1684e+07	2.83195e+07	2.60153e+07	3.38344e+07	3.53744e+07	3.65812e+07	3.47265e+07	3.6174e+07	3.05457e+07	3.45482e+07	2.61922e+07	2.15099e+07	2.40797e+07	2.70432e+07	2.68832e+07	2.50056e+07	2.71213e+07	2.67323e+07
MYCBP2	1.23143e+07	1.25037e+07	1.07821e+07	8.09656e+06	1.17289e+07	1.2035e+07	1.22506e+07	1.2732e+07	1.02852e+07	1.21922e+07	1.19735e+07	1.147e+07	7.85855e+06	7.18846e+06	7.87481e+06	8.60945e+06	7.54455e+06	7.65838e+06	7.31071e+06	9.39477e+06	9.60026e+06	1.01337e+07	9.08966e+06	1.24092e+07	1.2059e+07	1.01709e+07	1.00426e+07
MYCN																		277074	259803				332073		414817	319964	
MYCNOS						268657													460427					256537			
MYCT1														481207													
MYD88	4.95709e+06	4.73004e+06	4.7968e+06	5.4348e+06	5.00458e+06	5.35632e+06	5.40874e+06	4.98033e+06	4.75145e+06	3.64369e+06	4.7687e+06	5.01848e+06	5.59978e+06	5.85476e+06	5.61822e+06	5.57736e+06	5.11964e+06	6.20684e+06	5.34423e+06	6.66786e+06	4.72836e+06	5.80399e+06	7.0358e+06	6.35631e+06	6.15288e+06	5.46851e+06	5.25305e+06
MYDGF	1.03008e+08	8.77391e+07	1.00416e+08	1.75267e+08	7.65728e+07	6.2242e+07	9.00479e+07	8.30425e+07	5.67157e+07	6.72107e+07	8.7136e+07	8.12998e+07	1.22493e+08	1.22989e+08	1.5463e+08	1.45212e+08	1.07471e+08	1.32247e+08	1.4788e+08	4.98837e+07	3.85409e+07	4.57039e+07	5.96942e+07	9.57667e+07	7.9934e+07	4.70607e+07	4.79455e+07
MYEF2				5.18654e+06		8.33687e+06							3.82656e+06		3.83635e+06	4.97954e+06	3.18586e+06		4.0989e+06							8.11098e+06	9.9936e+06
MYEOV									193518																		
MYF5																			52037								
MYF6												164766															
MYG1	3.18627e+07	2.87081e+07	3.33396e+07	4.05748e+07	4.21523e+07	3.10381e+07	2.65102e+07	3.85038e+07	3.09052e+07	3.42201e+07	3.66283e+07	3.49248e+07	4.4273e+07	4.37041e+07	4.3597e+07	4.00136e+07	4.17516e+07	4.51282e+07	4.63128e+07	3.68715e+07	4.01082e+07	3.63217e+07	4.28538e+07	3.17349e+07	4.26851e+07	3.63246e+07	3.19955e+07
MYH10				2.42772e+06									3.8375e+06	2.16221e+06	2.65909e+06	1.17876e+07	4.16024e+06	2.77297e+06	3.71916e+06								
MYH7B	2.62416e+07		3.27396e+07	3.76364e+07									4.63747e+07				4.55005e+07	4.35825e+07	4.286e+07				5.1327e+07		4.42395e+07	4.63713e+07	
MYH9	8.46711e+08	7.04422e+08	7.09771e+08	6.95527e+08	9.6824e+08	8.64883e+08	7.69753e+08	7.22991e+08	7.06825e+08	6.67754e+08	7.51025e+08	7.34745e+08	7.45113e+08	7.35015e+08	7.81757e+08	7.03908e+08	6.66718e+08	6.45819e+08	6.32489e+08	9.27215e+08	7.12089e+08	7.54856e+08	8.6072e+08	1.14506e+09	1.01531e+09	7.61977e+08	7.41481e+08
MYL11									235506									238227									
MYL12A							282067		335349			208586															
MYL4													575224														
MYL6	1.75248e+08	1.26757e+08	1.81295e+08	1.62047e+08	2.50624e+08	1.5575e+08	1.56388e+08	1.82324e+08	1.842e+08	1.82811e+08	1.74858e+08	1.27184e+08	1.72462e+08	1.80109e+08	1.92594e+08	1.58504e+08	1.29733e+08	1.32144e+08	1.45185e+08	2.10547e+08	1.92753e+08	1.95852e+08	1.89605e+08	2.04221e+08	2.14958e+08	2.01873e+08	1.9031e+08
MYL6B	5.63727e+06	5.63105e+06	5.76614e+06	4.53672e+06	6.01164e+06	4.8291e+06	4.84931e+06	5.98323e+06	6.59784e+06	6.35748e+06	5.2353e+06	5.32509e+06	4.71088e+06	4.09594e+06	4.90725e+06	4.60178e+06	4.81837e+06	4.10433e+06	4.5781e+06	4.04215e+06	4.28786e+06	4.23044e+06	4.70101e+06	5.89133e+06	6.29268e+06	5.00606e+06	4.13894e+06
MYL9	2.63092e+06	1.01777e+06	1.08535e+06		6.52406e+06	1.47358e+06	2.20202e+06	1.20261e+06	2.07258e+06	1.08626e+06										2.78063e+06	1.65977e+06	2.52692e+06	3.69833e+06	9.6615e+06	7.01358e+06	892614	
MYNN	447795		489675				369500				484779			596741	330874	340718											602418
MYO10				119854		111231			63517				257518	216855	142574	122462	191048	225993	213083		113960	70811.8		115423	101636	124988	149413
MYO18A	3.32967e+07	2.84909e+07	3.2497e+07	3.56297e+07	4.31339e+07	6.17869e+07	3.2088e+07	3.01233e+07	3.3163e+07	2.77578e+07	2.84706e+07	2.95119e+07	4.03553e+07	3.81073e+07	4.14968e+07	4.38065e+07	3.81969e+07	3.27911e+07	3.158e+07	4.77142e+07	3.94713e+07	4.26097e+07	4.7665e+07	4.983e+07	5.01906e+07	5.6013e+07	5.4269e+07
MYO19	1.5437e+06	2.59965e+06	2.20928e+06	1.04507e+06	2.11201e+06	2.41008e+06	2.2924e+06	2.49643e+06	1.75452e+06	2.19454e+06	2.32905e+06	2.8584e+06	1.06084e+06	1.24022e+06	708070	777526		1.25504e+06	1.16465e+06	2.83814e+06	2.29086e+06	2.79979e+06	2.86725e+06	2.09044e+06	2.4334e+06	2.52214e+06	2.10396e+06
MYO1B					968993																246449			460514	694691		162925
MYO1C	4.49102e+06	2.80045e+06	2.98176e+06	1.27878e+07	3.46566e+06	2.33276e+06	4.67306e+06	2.76086e+06	4.05166e+06	4.5183e+06	2.46356e+06	2.72642e+06	1.4717e+07	1.22292e+07	1.18834e+07	1.1035e+07	1.21453e+07	1.43292e+07	1.3911e+07	3.08988e+06	2.61471e+06	3.11254e+06	2.95473e+06	1.13359e+06	3.52546e+06	2.25244e+06	2.6983e+06
MYO1E	3.54721e+06	1.76492e+06		2.0463e+06	4.65916e+06	3.71391e+06	4.05799e+06				1.29242e+06		2.08372e+06	2.71545e+06	3.45097e+06	2.94717e+06	2.3416e+06	1.85781e+06	1.73769e+06	5.53296e+06	4.93508e+06	4.63172e+06	4.77251e+06	4.00947e+06	3.53517e+06	3.47727e+06	3.37325e+06
MYO1F	7.38969e+07	4.86782e+07	4.80767e+07	7.69928e+07	7.73199e+07	9.35112e+07	7.41811e+07	5.61857e+07	4.40301e+07	4.02571e+07	4.66326e+07	4.47957e+07	7.01439e+07	6.57751e+07	7.20213e+07	7.7336e+07	5.87837e+07	7.40841e+07	6.63545e+07	7.83015e+07	6.28731e+07	7.64604e+07	6.8401e+07	8.57759e+07	7.71143e+07	7.85033e+07	7.64758e+07
MYO1G	1.00005e+08	7.15381e+07	4.95005e+07	2.72801e+08	9.2549e+07	1.2758e+08	1.11424e+08	6.14617e+07	3.56625e+07	7.22794e+07	8.08245e+07	7.40182e+07	2.59252e+08	2.91495e+08	3.03921e+08	3.0671e+08	2.13165e+08	2.29497e+08	2.17085e+08	1.07089e+08	1.07977e+08	1.28728e+08	6.15571e+07	1.54981e+08	8.14621e+07	9.45433e+07	9.96846e+07
MYO3B					1.39418e+06	607854														785591	645700	900447	459084	1.89789e+06	1.03758e+06	387174	463146
MYO5A	1.0138e+07			1.75712e+07	3.78558e+07	2.83092e+07	1.14617e+07	9.03022e+06		1.2351e+07	3.52278e+06		2.36913e+07	2.13348e+07	2.26929e+07	1.711e+07	2.08117e+07	1.59657e+07	1.63918e+07	3.68398e+07	3.77927e+07	3.84241e+07	3.07428e+07	3.72506e+07	3.60282e+07	2.73061e+07	2.81197e+07
MYO6	1.44408e+07	1.18905e+07	1.08482e+07				1.66763e+07	1.36639e+07	8.08079e+06	9.89406e+06	1.19446e+07	1.18195e+07	2.75732e+06														
MYO9A	662833	745584	803491	321471	721399	718204	617619	837000	570737	911189	634797	693387	273196	300873	318843	430121	399938	522801	513771	622681	604168	523182	411589	765111	829692	522221	516966
MYO9B	9.70681e+06	8.5136e+06	8.4769e+06	9.49318e+06	1.30809e+07	7.83808e+06	1.01005e+07	8.48528e+06	6.21485e+06	8.85116e+06	9.11034e+06	8.7662e+06	1.23776e+07	1.18341e+07	1.29214e+07	1.22982e+07	9.9873e+06	9.87467e+06	9.25439e+06	8.93569e+06	9.29114e+06	9.41532e+06	9.44616e+06	1.25507e+07	1.13838e+07	7.16022e+06	7.27563e+06
MYOCOS	2.71606e+06																									1.013e+06	
MYOD1																						82242.4					
MYOF					1.16995e+07	3.67597e+06														6.80289e+06	5.21608e+06	5.28562e+06	1.08307e+07	7.07782e+06	8.24045e+06	3.74677e+06	3.26483e+06
MYPOP	2.98166e+06			2.17659e+06												2.32218e+06			2.39143e+06		2.48334e+06			2.32839e+06		3.07076e+06	
MYRIP																				4.79538e+06							
MYSM1	1.29027e+06	1.9903e+06	1.3908e+06	1.2054e+06	2.07006e+06	1.80785e+06	1.6206e+06	1.67609e+06	1.49929e+06	2.18582e+06	1.24813e+06	1.20133e+06	1.38447e+06	1.31053e+06	1.06279e+06	1.23625e+06	1.57134e+06	1.34853e+06	1.06626e+06	1.67067e+06	2.13583e+06	1.8633e+06	1.90515e+06	1.68463e+06	1.73791e+06	1.64176e+06	1.63878e+06
MZT1	3.98617e+06				5.24363e+06	3.11897e+06	3.49071e+06		3.82078e+06	3.66325e+06		3.32639e+06		3.99727e+06							6.50122e+06	4.87216e+06				3.38422e+06	4.97899e+06
N4BP1	4.06878e+06	3.97317e+06	5.01254e+06	3.75309e+06	7.73312e+06	5.789e+06	4.75721e+06	4.2382e+06	5.42457e+06	5.24856e+06	3.20411e+06	4.15699e+06	4.07973e+06	4.70058e+06	3.55769e+06	3.40496e+06	4.78375e+06	3.55493e+06	3.8764e+06	7.0385e+06	7.44115e+06	7.63273e+06	1.07224e+07	7.34234e+06	6.24063e+06	5.79246e+06	5.86312e+06
N4BP2	5.02455e+06	4.74068e+06	4.07025e+06	4.47568e+06	2.91057e+06	3.66229e+06	3.96641e+06	4.50632e+06	5.05864e+06	3.44319e+06	3.9804e+06	4.0462e+06	3.48866e+06	3.47447e+06	3.39312e+06	4.07056e+06	2.67591e+06	3.27414e+06	3.94428e+06	2.40674e+06	1.8301e+06	2.09592e+06	2.26593e+06	2.61768e+06	2.01884e+06	2.667e+06	2.89372e+06
N4BP2L1	1.75496e+06	1.01882e+06	623233		1.24521e+06	1.02802e+06	1.75957e+06	1.02834e+06	1.5241e+06	1.27002e+06	853111	1.21878e+06	916922	870748	937726	1.32508e+06		575641		761973		879273	524559	870910	919644	968432	1.24946e+06
N4BP2L2	6.6132e+06		6.70357e+06		5.9698e+06	4.7895e+06	5.89586e+06	5.89479e+06	6.36262e+06	7.39061e+06	5.06717e+06		3.42605e+06	3.50407e+06					2.74331e+06	5.0831e+06	4.90626e+06	5.95092e+06		4.48932e+06	5.18257e+06	5.69765e+06	5.39934e+06
N6AMT1	4.78776e+06	4.58652e+06	4.13534e+06	3.84859e+06	1.02118e+07	8.10116e+06	4.54405e+06	4.63126e+06	5.8971e+06	5.29509e+06	4.40274e+06	4.90913e+06	4.72712e+06	4.12905e+06	3.89673e+06	3.73613e+06	5.16896e+06	3.91787e+06	4.23687e+06	9.39516e+06	7.5072e+06	9.20502e+06	7.84231e+06	7.38956e+06	8.38718e+06	8.0757e+06	9.0227e+06
NAA10	9.48498e+07	9.95569e+07	9.93524e+07	8.66872e+07	8.33196e+07	8.27231e+07	9.85342e+07	9.73905e+07	8.73621e+07	1.05359e+08	8.71719e+07	9.93932e+07	8.47123e+07	8.4146e+07	8.22672e+07	8.31408e+07	9.34697e+07	8.99798e+07	8.45612e+07	8.50471e+07	8.45254e+07	8.03848e+07	9.16948e+07	8.43293e+07	8.90682e+07	7.96241e+07	8.14244e+07
NAA15	1.63928e+08	1.63048e+08	1.91497e+08	1.67492e+08	1.3461e+08	1.4134e+08	1.647e+08	1.79391e+08	1.40981e+08	1.56794e+08	1.51647e+08	1.48365e+08	1.34862e+08	1.3862e+08	1.38496e+08	1.40085e+08	1.37116e+08	1.42105e+08	1.44466e+08	1.25712e+08	1.20623e+08	1.1676e+08	1.41139e+08	1.30463e+08	1.41828e+08	1.18485e+08	1.17516e+08
NAA16	7.85082e+07	7.64864e+07	7.63017e+07	3.14193e+07	4.58e+07	4.27864e+07	7.75192e+07	7.80371e+07	5.00275e+07	7.3591e+07	6.95245e+07	6.96699e+07	3.31881e+07	3.20976e+07	3.11851e+07	2.91258e+07	3.0835e+07	3.28489e+07	3.27941e+07	4.05672e+07	4.06247e+07	4.33709e+07	4.04774e+07	4.0993e+07	4.08969e+07	3.37343e+07	3.68992e+07
NAA20	1.16572e+07	1.23368e+07	1.11484e+07	9.63638e+06	1.08605e+07	1.11461e+07	1.14931e+07	1.05343e+07	1.04013e+07	1.09985e+07	1.24176e+07	1.23663e+07	9.25914e+06	9.81206e+06	9.52343e+06	8.65567e+06	9.01412e+06	9.55271e+06	1.05315e+07	1.06726e+07	7.7242e+06	1.17596e+07	1.23642e+07	1.16474e+07	1.18213e+07	1.04362e+07	1.14711e+07
NAA25	1.54377e+07	1.54397e+07	1.58284e+07	1.47492e+07	1.92915e+07	1.51636e+07	1.63898e+07	1.54746e+07	1.38825e+07	1.62502e+07	2.00454e+07	1.76405e+07	1.30932e+07	1.53972e+07	1.36253e+07	1.47735e+07	1.48594e+07	1.49698e+07	1.45292e+07	1.5552e+07	1.61106e+07	1.56792e+07	1.61207e+07	1.74642e+07	1.91266e+07	1.40338e+07	1.41058e+07
NAA30	5.29503e+06	4.82629e+06	6.12089e+06	5.93889e+06	2.47517e+06	4.33078e+06	5.28495e+06	5.87868e+06	4.56454e+06	5.29514e+06	4.88246e+06	4.94516e+06	4.39034e+06	5.43987e+06	5.62198e+06	5.35486e+06	5.25799e+06	5.2638e+06	4.90785e+06	4.51153e+06	2.96424e+06	4.05052e+06	3.72731e+06	3.99968e+06	2.59834e+06	3.59529e+06	3.94814e+06
NAA35	9.31595e+06	8.36365e+06	1.02757e+07	1.01718e+07	5.09081e+06	7.64307e+06	1.02465e+07	1.07596e+07	1.06749e+07	1.02523e+07	8.88042e+06	9.719e+06	1.17044e+07	1.08546e+07	1.09036e+07	1.10327e+07	1.02954e+07	1.15067e+07	1.18989e+07	8.01703e+06	7.46392e+06	7.61696e+06	7.91477e+06	7.17393e+06	5.9411e+06	8.0066e+06	8.3456e+06
NAA38	4.52933e+06	2.4206e+06	3.56181e+06	2.80336e+06	2.53743e+06	1.91006e+06	3.32233e+06	3.86906e+06	4.35627e+06	3.38493e+06	2.53989e+06	3.95854e+06	5.15091e+06	3.01162e+06	4.39217e+06	2.26453e+06	4.86486e+06	4.55733e+06	4.86862e+06	2.22641e+06	2.7159e+06	2.44496e+06	3.75272e+06	1.68494e+06	2.75962e+06	2.75176e+06	2.72015e+06
NAA40	8.5845e+06	8.20193e+06	8.09484e+06	1.39454e+07	1.36456e+07	1.22299e+07	6.68045e+06	7.79262e+06	1.04424e+07	8.60052e+06	8.99086e+06	8.89715e+06	1.19386e+07	1.24903e+07	1.32438e+07	1.23784e+07	1.38977e+07	1.37412e+07	1.46408e+07	1.47487e+07	1.4538e+07	1.45605e+07	1.34882e+07	1.20475e+07	1.32149e+07	1.43387e+07	1.3411e+07
